GVT,Forced GVT,Total GVT Computations,Total All Reduce Calls,Average Reduction / GVT,total events processes,events aborted,events rolled back,event ties detected in PE queues,efficiency,total remote (shared mem) events processed,percent remote events,total remote network events processed,percent remote events,total rollbacks,primary rollbacks,secondary roll backs,fossil collect attempts,net events processed,remote sends,remote recvs
1430.002579,0,1,3,3.000000,256,0,55,0,72.636816,0,0.000000,32,15.920398,16,13,3,1,201,82,80
1455.513321,0,1,3,3.000000,256,0,178,0,-128.205128,0,0.000000,17,21.794872,37,16,21,1,78,131,100
1469.621826,0,1,3,3.000000,256,0,93,0,42.944785,0,0.000000,32,19.631902,24,8,16,1,163,72,78
1496.633277,0,1,3,3.000000,256,0,125,0,4.580153,0,0.000000,18,13.740458,18,8,10,1,131,90,56
1515.707928,0,1,3,3.000000,256,0,191,0,-193.846154,0,0.000000,14,21.538462,36,14,22,1,65,134,99
1521.292220,0,1,3,3.000000,256,0,142,0,-24.561404,0,0.000000,21,18.421053,30,14,16,1,114,99,96
1543.136185,0,1,3,3.000000,256,0,266,0,100.000000,0,0.000000,-4,100.000000,52,16,36,1,-10,128,87
1560.205164,0,1,3,3.000000,256,0,111,0,23.448276,0,0.000000,23,15.862069,24,8,16,1,145,79,82
1585.305090,0,1,3,3.000000,256,0,149,0,-39.252336,0,0.000000,18,16.822430,24,9,15,1,107,98,69
1610.350700,0,1,3,3.000000,256,0,129,0,-1.574803,0,0.000000,21,16.535433,27,13,14,1,127,93,72
1619.381075,0,1,3,3.000000,256,0,174,0,-112.195122,0,0.000000,12,14.634146,42,14,28,1,82,84,126
1640.800751,0,1,3,3.000000,256,0,137,0,-15.126050,0,0.000000,18,15.126050,31,8,23,1,119,78,78
1658.063771,0,1,3,3.000000,256,0,227,0,-682.758621,0,0.000000,7,24.137931,40,17,23,1,29,139,111
1681.828427,0,1,3,3.000000,256,0,111,0,23.448276,0,0.000000,26,17.931034,25,10,15,1,145,78,84
1706.684185,0,1,3,3.000000,256,0,165,0,-81.318681,0,0.000000,8,8.791209,31,12,19,1,91,80,92
1732.830197,0,1,3,3.000000,256,0,138,0,-16.949153,0,0.000000,25,21.186441,29,12,17,1,118,109,74
1750.073485,0,1,3,3.000000,256,0,126,0,3.076923,0,0.000000,23,17.692308,33,13,20,1,130,89,81
