GVT-Bin, LP0, LP1, LP2, LP3, LP4, LP5, LP6, LP7, LP8, LP9, LP10, LP11, LP12, LP13, LP14, LP15, LP16, LP17, LP18, LP19, LP20, LP21, LP22, LP23, LP24, LP25, LP26, LP27, LP28, LP29, LP30, LP31, LP32, LP33, LP34, LP35, LP36, LP37, LP38, LP39, LP40, LP41, LP42, LP43, LP44, LP45, LP46, LP47, LP48, LP49, LP50, LP51, LP52, LP53, LP54, LP55, LP56, LP57, LP58, LP59, LP60, LP61, LP62, LP63, LP64, LP65, LP66, LP67, LP68, LP69, LP70, LP71, LP72, LP73, LP74, LP75, LP76, LP77, LP78, LP79, LP80, LP81, LP82, LP83, LP84, LP85, LP86, LP87, LP88, LP89, LP90, LP91, LP92, LP93, LP94, LP95, LP96, LP97, LP98, LP99, LP100, LP101, LP102, LP103, LP104, LP105, LP106, LP107, LP108, LP109, LP110, LP111, LP112, LP113, LP114, LP115, LP116, LP117, LP118, LP119, LP120, LP121, LP122, LP123, LP124, LP125, LP126, LP127, LP128, LP129, LP130, LP131, LP132, LP133, LP134, LP135, LP136, LP137, LP138, LP139, LP140, LP141, LP142, LP143, LP144, LP145, LP146, LP147, LP148, LP149, LP150, LP151, LP152, LP153, LP154, LP155, LP156, LP157, LP158, LP159, LP160, LP161, LP162, LP163, LP164, LP165, LP166, LP167, LP168, LP169, LP170, LP171, LP172, LP173, LP174, LP175, LP176, LP177, LP178, LP179, LP180, LP181, LP182, LP183, LP184, LP185, LP186, LP187, LP188, LP189, LP190, LP191, LP192, LP193, LP194, LP195, LP196, LP197, LP198, LP199
25665.400391,  2,  2,  2, 17,  1,  0,  2, 20,  1,  1,  1, 14,  2,  2,  2, 14,  1,  1,  2, 20,  1,  1,  1, 14,  1,  1,  1, 27,  1,  1,  1, 13,  2,  1,  1, 18,  1,  1,  1, 11,  2,  1,  1, 13,  1,  1,  1, 18,  1,  1,  2, 17,  2,  1,  1, 13,  1,  1,  2,  8,  1,  2,  1, 15,  1,  1,  1, 16,  1,  1,  0, 21,  1,  1,  1, 12,  1,  2,  1, 17,  1,  1,  2, 12,  1,  1,  1,  8,  1,  3,  1, 14,  2,  1,  1, 19,  1,  1,  1, 24,  1,  2,  1, 11,  1,  1,  0, 23,  1,  2,  2, 23,  1,  2,  2, 15,  1,  2,  1, 19,  1,  2,  1, 11,  1,  1,  1, 14,  2,  1,  1, 11,  2,  2,  1, 16,  1,  2,  2, 11,  2,  1,  1, 11,  1,  1,  1, 16,  2,  2,  1, 14,  1,  2,  1, 27,  1,  1,  1, 11,  3,  1,  2, 10,  1,  1,  1, 11,  1,  1,  1, 18,  2,  1,  2, 10,  1,  1,  1, 18,  1,  1,  1, 13,  1,  1,  2, 27,  2,  2,  3, 21,  1,  2,  1, 26,  1,  2,  1, 13
25701.330078,  1,  1,  1, 22,  1,  1,  2, 14,  1,  1,  1, 18,  1,  2,  1, 35,  2,  1,  1, 22,  2,  1,  1, 18,  1,  1,  1, 24,  1,  1,  1, 20,  1,  1,  1, 18,  1,  2,  1, 29,  2,  1,  1, 19,  1,  1,  1, 21,  1,  2,  1, 16,  1,  1,  1, 21,  1,  1,  1, 15,  1,  3,  1, 22,  2,  1,  1, 24,  1,  1,  1, 15,  2,  1,  0, 20,  1,  1,  1, 17,  1,  1,  1, 12,  2,  1,  1,  9,  1,  1,  0, 33,  1,  1,  0, 23,  1,  1,  2, 27,  1,  1,  1, 16,  1,  1,  1, 25,  1,  1,  1, 30,  1,  2,  1, 22,  1,  1,  1, 18,  1,  1,  1, 24,  1,  1,  1, 19,  1,  1,  1, 11,  1,  1,  1, 22,  1,  2,  1, 20,  1,  1,  1, 17,  1,  1,  2, 19,  1,  1,  1, 32,  1,  1,  1,  7,  0,  1,  1, 12,  0,  1,  1, 25,  1,  2,  1, 17,  1,  1,  1, 24,  1,  1,  1, 18,  1,  0,  1, 20,  1,  0,  1, 23,  1,  1,  2, 26,  1,  1,  1, 21,  1,  1,  1, 36,  1,  1,  2, 19
25732.833984,  1,  1,  1, 18,  2,  2,  1, 17,  1,  1,  2, 18,  1,  1,  2, 23,  1,  1,  1, 13,  1,  2,  1, 12,  3,  1,  1, 14,  1,  1,  1, 17,  1,  2,  3, 15,  2,  2,  1, 14,  2,  1,  2, 13,  2,  0,  1, 14,  2,  2,  1, 13,  1,  1,  2, 13,  2,  2,  1, 12,  1,  3,  2, 15,  1,  1,  1, 15,  2,  2,  1, 14,  1,  1,  1, 21,  2,  1,  2, 18,  1,  1,  1, 10,  1,  2,  2, 11,  2,  3,  1, 17,  1,  1,  1, 21,  1,  3,  2, 18,  2,  3,  2, 23,  1,  1,  0, 22,  2,  1,  1, 17,  2,  2,  2, 23,  2,  1,  2, 21,  2,  1,  1, 20,  2,  2,  1, 17,  1,  1,  1, 14,  1,  0,  3, 15,  2,  2,  0, 14,  1,  2,  0, 12,  2,  2,  1, 16,  1,  1,  1, 14,  2,  1,  1, 21,  0,  1,  1, 15,  1,  2,  1, 19,  2,  2,  1, 10,  2,  2,  2, 11,  1,  2,  2,  8,  1,  0,  1, 14,  1,  1,  1, 17,  2,  2,  3, 13,  2,  2,  1, 25,  2,  1,  1, 12,  1,  1,  1, 11
25767.787109,  1,  3,  1,  7,  1,  0,  1, 13,  2,  1,  1, 22,  1,  2,  1, 18,  1,  1,  1, 17,  1,  1,  1, 14,  1,  3,  0, 12,  1,  2,  3, 11,  1,  1,  1, 28,  1,  1,  1, 24,  1,  2,  1, 12,  1,  1,  1, 19,  1,  2,  1, 19,  1,  2,  1, 15,  1,  1,  1,  8,  2,  1,  3, 18,  1,  2,  2, 13,  1,  1,  1, 20,  1,  1,  0, 20,  1,  1,  1, 12,  2,  2,  1, 14,  1,  1,  1, 11,  1,  2,  3, 13,  1,  1,  1, 19,  1,  2,  1, 26,  1,  1,  1, 15,  2,  2,  1, 20,  1,  1,  1, 17,  3,  0,  1, 23,  1,  1,  1, 13,  2,  1,  1, 24,  1,  1,  0, 18,  1,  2,  1, 26,  2,  0,  1, 14,  1,  2,  0, 15,  1,  1,  1, 13,  1,  1,  2, 16,  1,  2,  1, 18,  0,  1,  2, 14,  1,  1,  2,  9,  1,  3,  2, 12,  1,  1,  2, 25,  1,  1,  1, 18,  1,  0,  1, 11,  2,  2,  1, 23,  2,  1,  2, 27,  1,  1,  1, 14,  1,  3,  2, 36,  1,  1,  1, 42,  1,  1,  1, 21
25795.771484,  2,  1,  1,  8,  1,  1,  1, 17,  1,  2,  1, 15,  1,  1,  2, 13,  2,  2,  1, 10,  2,  1,  1, 14,  2,  0,  0, 12,  2,  1,  2, 13,  1,  1,  2, 22,  1,  3,  2, 21,  2,  1,  1,  9,  1,  2,  2, 14,  2,  1,  1, 10,  1,  1,  1, 13,  1,  1,  2, 11,  1,  1,  1, 13,  2,  1,  1, 11,  1,  2,  2, 13,  2,  2,  1,  9,  1,  2,  1, 24,  1,  1,  2, 12,  1,  1,  1,  9,  1,  1,  1, 15,  1,  2,  1, 19,  2,  1,  1, 20,  1,  1,  1, 17,  1,  1,  1, 21,  1,  1,  1, 16,  2,  4,  3, 11,  1,  1,  1, 13,  1,  1,  3, 20,  1,  1,  1, 15,  1,  1,  2, 13,  1,  1,  1, 13,  1,  3,  0, 23,  1,  1,  3, 11,  1,  1,  1,  9,  2,  1,  2, 15,  0,  2,  1, 17,  0,  2,  1, 12,  1,  1,  3, 14,  1,  1,  1,  9,  1,  1,  1, 12,  1,  2,  1, 11,  1,  2,  4, 15,  1,  1,  1, 12,  1,  1,  1,  9,  2,  1,  1, 14,  1,  1,  2, 23,  2,  1,  1, 17
25829.552734,  1,  1,  1,  8,  1,  0,  1, 12,  1,  1,  1, 15,  2,  1,  1, 21,  1,  0,  2,  9,  1,  1,  1, 16,  1,  1,  1, 15,  1,  1,  0, 14,  1,  1,  1, 34,  1,  2,  1, 31,  1,  1,  1, 12,  1,  1,  1, 16,  1,  1,  1, 23,  1,  1,  1, 19,  1,  1,  1,  8,  1,  2,  1, 21,  1,  1,  1, 14,  1,  1,  1, 14,  1,  1,  1, 11,  1,  0,  1, 20,  1,  1,  1, 16,  1,  1,  1, 16,  1,  2,  0, 23,  2,  1,  1, 27,  1,  2,  2, 32,  2,  1,  1, 19,  1,  1,  1, 19,  1,  1,  2, 17,  2,  1,  1, 20,  1,  1,  1, 17,  1,  1,  1, 19,  1,  1,  1, 23,  1,  1,  1, 16,  1,  1,  1, 16,  1,  1,  0, 19,  1,  1,  1, 21,  1,  1,  1, 15,  1,  1,  1, 24,  0,  3,  1, 25,  1,  1,  1, 13,  1,  2,  2, 21,  1,  2,  1, 12,  1,  1,  1, 18,  1,  0,  1, 17,  2,  2,  1, 24,  1,  1,  1, 15,  1,  1,  1, 32,  1,  2,  1, 22,  1,  2,  1, 26,  1,  1,  1, 25
25858.324219,  1,  1,  2, 20,  3,  0,  2, 14,  1,  1,  1, 19,  1,  1,  2, 16,  2,  2,  1, 14,  1,  1,  1, 11,  1,  1,  1, 27,  1,  1,  1, 15,  2,  1,  1, 35,  1,  3,  1, 41,  1,  1,  1, 15,  2,  1,  1, 13,  2,  4,  3, 17,  2,  1,  1, 15,  1,  1,  1, 11,  1,  2,  2, 14,  2,  1,  1, 23,  1,  1,  0, 15,  1,  1,  1,  9,  1,  5,  2, 18,  1,  1,  1, 16,  2,  1,  1, 13,  1,  4,  0, 22,  1,  1,  1, 30,  1,  4,  3, 17,  1,  2,  2, 29,  1,  1,  2, 26,  1,  2,  1, 15,  2,  1,  1, 13,  1,  2,  1, 18,  1,  2,  1, 27,  3,  1,  1, 25,  2,  1,  1, 15,  3,  1,  2, 22,  2,  1,  3, 11,  2,  1,  1, 16,  2,  1,  1, 15,  1,  2,  1, 43,  1,  2,  1, 12,  2,  1,  1, 10,  2,  1,  3, 19,  1,  4,  1, 15,  1,  2,  1, 14,  2,  2,  2, 15,  2,  2,  1, 30,  1,  0,  1, 23,  3,  2,  0, 17,  1,  5,  1, 18,  1,  1,  1, 43,  1,  2,  2, 29
25885.328125,  1,  1,  1, 15,  2,  1,  1, 14,  1,  1,  4, 10,  1,  1,  2, 14,  1,  0,  1, 13,  1,  1,  1, 17,  1,  1,  1, 11,  1,  1,  1, 12,  1,  1,  2, 18,  1,  3,  1, 18,  1,  1,  1, 11,  1,  1,  2, 12,  5,  2,  1, 14,  1,  1,  1, 18,  1,  1,  1, 18,  1,  3,  2, 15,  2,  1,  2, 16,  1,  1,  1, 18,  1,  1,  1, 12,  1,  1,  1, 15,  1,  1,  1, 12,  1,  1,  1, 11,  1,  2,  4, 19,  1,  1,  1, 16,  1,  1,  2, 11,  2,  2,  2, 14,  1,  1,  1, 23,  1,  1,  1, 12,  2,  2,  1, 19,  1,  1,  1, 11,  0,  1,  2, 24,  1,  2,  0,  8,  1,  1,  1, 12,  1,  1,  1, 15,  1,  1,  1, 19,  1,  1,  0, 18,  1,  1,  1, 12,  1,  1,  1, 18,  2,  1,  1, 11,  1,  1,  1, 11,  1,  3,  1,  9,  1,  1,  1, 26,  1,  1,  2, 27,  1,  1,  1,  9,  1,  1,  1, 25,  1,  1,  1, 12,  1,  1,  1, 14,  1,  4,  1, 21,  1,  1,  1, 23,  1,  1,  1, 19
25903.621094,  1,  1,  1, 19,  1,  0,  1,  8,  1,  1,  1, 12,  1,  1,  2, 16,  1,  1,  1, 12,  1,  1,  1, 13,  2,  2,  1, 10,  1,  1,  1,  8,  3,  1,  1, 29,  1,  1,  1, 17,  1,  1,  1,  6,  1,  1,  2, 14,  2,  1,  1, 13,  1,  1,  1, 12,  1,  1,  1,  7,  1,  3,  1, 16,  0,  1,  1, 12,  1,  1,  1, 12,  1,  1,  1,  6,  1,  1,  1, 24,  1,  1,  1, 14,  1,  1,  1,  7,  1,  1,  0, 12,  1,  1,  1, 16,  1,  1,  1, 15,  1,  1,  1, 13,  1,  1,  1,  5,  1,  1,  1,  6,  2,  3,  1, 12,  1,  1,  1,  6,  1,  3,  2, 35,  1,  1,  1,  5,  1,  1,  1,  4,  1,  1,  1,  9,  1,  1,  1, 23,  2,  1,  0, 12,  1,  1,  1,  9,  1,  1,  1, 11,  2,  2,  1,  7,  1,  1,  1, 14,  1,  1,  1, 16,  1,  1,  1, 10,  1,  1,  1,  7,  1,  1,  1, 12,  1,  1,  1, 16,  1,  1,  1,  5,  1,  2,  0,  7,  1,  2,  1,  9,  1,  1,  1,  6,  1,  1,  1,  9
25932.783203,  1,  1,  0, 25,  0,  0,  0, 13,  1,  1,  0, 24,  0,  1,  2, 19,  0,  0,  0, 19,  1,  1,  0, 25,  0,  3,  1, 12,  1,  1,  0, 20,  0,  1,  0, 29,  1,  2,  1, 41,  1,  1,  1, 24,  0,  0,  1, 24,  0,  0,  0, 19,  0,  1,  2, 29,  1,  1,  1, 28,  1,  1,  1, 21,  0,  1,  2, 14,  1,  1,  0, 41,  1,  1,  1, 28,  1,  0,  0, 25,  0,  1,  1, 26,  0,  1,  1, 21,  1,  0,  1, 26,  1,  1,  1, 32,  3,  0,  0, 20,  0,  0,  0, 30,  1,  1,  0, 38,  1,  0,  0, 16,  2,  6,  1, 16,  0,  0,  2, 18,  0,  0,  1, 39,  1,  1,  0, 24,  0,  1,  1, 37,  0,  1,  0, 15,  0,  1,  1, 28,  0,  1,  1, 26,  0,  1,  1, 15,  2,  0,  1, 32,  0,  0,  1, 27,  0,  2,  1, 18,  0,  1,  0, 41,  1,  0,  1, 10,  1,  0,  0, 21,  0,  0,  0, 14,  1,  1,  1, 21,  1,  0,  1, 32,  0,  0,  0, 18,  1,  1,  1, 28,  1,  1,  1, 46,  2,  0,  0, 21
