gvt,PE_0,PE_1,PE_2,PE_3,PE_4,PE_5,PE_6,PE_7,PE_8,PE_9,PE_10,PE_11,PE_12,PE_13,PE_14,PE_15
2059.142822,20,15,4,17,4,4,13,12,10,3,9,11,16,7,10,7
2080.822510,36,28,18,44,23,21,11,32,18,20,24,41,18,21,40,19
2095.737793,0,5,2,6,11,8,1,6,0,4,3,9,1,2,10,9
2113.285889,21,13,51,28,31,21,23,17,34,27,23,33,28,12,35,22
2141.150635,40,25,19,38,23,11,26,51,14,31,26,37,23,24,18,19
2162.171631,9,16,5,9,5,2,5,22,5,1,10,14,3,5,16,8
2179.531982,14,5,13,16,9,19,11,10,19,14,5,13,4,4,5,11
2206.495117,22,24,10,33,8,17,4,19,18,11,18,26,6,20,24,9
2221.565430,2,6,13,6,10,2,4,10,7,8,6,21,9,4,4,2
2231.123779,23,7,5,15,17,16,2,4,23,10,14,8,15,12,8,7
2257.319824,8,24,22,25,20,11,14,32,28,23,12,34,9,9,46,25
2280.677734,29,18,19,18,12,7,14,19,8,29,17,12,18,11,9,8
2303.040771,26,29,11,27,23,13,9,16,20,17,21,21,24,6,38,12
2326.905029,27,20,24,25,30,19,13,23,19,17,27,35,19,13,5,35
2353.667236,27,23,23,24,26,36,15,29,21,36,20,53,9,13,18,33
2379.347656,23,9,16,22,16,12,6,16,17,14,15,26,13,8,13,15
2396.735596,6,2,17,20,8,9,11,20,10,22,5,11,5,5,16,6
2429.733643,23,12,17,19,8,15,11,15,21,17,19,17,12,7,32,17
2446.353027,37,31,11,25,24,23,9,31,27,19,18,28,34,6,31,13
2478.346680,30,15,33,27,25,30,9,33,34,18,15,36,20,11,30,16
2497.432617,9,14,8,12,9,5,4,13,5,7,11,18,10,9,16,5
2516.501953,21,10,21,19,20,4,3,12,6,32,20,9,3,12,13,16
2528.570801,9,15,10,9,3,5,10,10,8,5,9,9,4,3,8,0
2547.341797,21,4,16,21,10,6,3,11,9,6,17,8,17,10,27,6
2570.271484,24,11,19,38,31,11,7,30,9,31,17,41,23,18,15,23
2605.683594,16,17,15,28,25,17,12,36,23,24,18,29,15,19,36,9
2623.207520,12,16,4,11,15,7,10,15,7,6,4,10,6,10,14,6
2628.018555,3,0,2,7,0,1,0,4,0,2,1,1,2,0,2,5
2651.684814,16,14,6,7,6,17,5,14,9,10,7,20,9,6,10,8
2661.425781,12,7,11,17,3,3,4,9,4,11,11,8,7,5,9,8
2665.938721,2,9,0,2,3,0,1,0,3,7,5,5,0,0,0,4
2681.436768,2,10,3,5,8,3,1,29,0,0,3,6,8,13,4,2
2691.178467,22,4,12,24,9,10,12,9,10,19,25,21,1,9,4,21
2713.134766,2,11,5,3,7,7,4,22,11,7,3,13,13,4,16,3
2732.554443,15,9,14,29,6,19,10,9,17,18,18,24,11,3,12,5
2749.803955,14,22,22,37,12,11,10,18,18,15,20,26,15,22,18,7
2768.439697,4,6,6,0,8,5,3,11,8,3,1,15,3,0,6,7
2781.710449,16,17,6,17,7,16,24,28,15,19,11,28,11,24,13,11
2791.546143,0,13,0,12,15,5,4,11,8,13,12,10,0,8,0,2
2808.078613,22,8,28,23,25,13,14,28,19,14,15,13,17,8,27,9
2825.092529,4,16,3,8,10,11,4,3,8,7,5,23,4,2,5,12
2840.861572,13,11,21,24,32,21,15,40,59,30,14,29,25,21,39,11
2856.857178,14,15,5,7,8,5,7,5,2,10,10,9,10,0,6,15
2871.788086,11,11,21,27,12,12,6,16,16,7,6,24,7,18,15,4
2884.685059,12,4,1,6,0,1,2,4,17,14,11,6,0,0,4,14
2905.553955,14,23,25,25,19,23,14,27,23,16,7,27,11,18,31,8
2921.156982,4,0,2,3,5,7,2,4,3,3,10,7,6,2,6,0
2930.603027,3,6,11,19,3,4,8,6,3,2,7,12,1,3,26,3
2957.905762,15,15,20,40,17,28,9,30,29,39,32,21,31,4,49,6
2965.525635,23,27,17,2,12,2,5,17,3,14,17,21,4,7,9,10
2999.138184,34,25,21,27,25,19,20,34,46,22,24,42,19,11,43,12
3017.105957,7,17,11,15,5,12,13,2,12,16,9,28,7,10,15,0
3035.452393,18,10,21,18,14,12,3,21,23,10,28,47,6,8,27,19
3052.030518,18,25,52,27,48,25,19,46,41,44,25,27,33,48,46,3
3078.989502,96,86,47,75,67,75,50,104,67,84,60,101,50,45,48,58
3088.754150,33,21,13,57,16,24,19,24,16,33,25,42,25,5,30,30
3098.391357,23,16,3,26,14,17,10,21,16,20,17,15,4,16,33,14
3115.760498,49,86,105,95,79,74,59,73,96,61,60,106,104,68,64,22
3129.163818,17,28,18,56,24,13,23,16,24,29,25,21,2,6,33,49
3140.004150,4,14,10,7,9,18,14,13,5,14,3,14,20,12,17,0
3149.387207,34,11,28,37,18,6,17,42,19,22,19,18,11,22,14,15
3169.783936,13,37,6,17,13,16,5,10,9,9,24,26,22,21,26,11
3182.519531,22,3,17,26,7,12,9,27,12,15,21,11,5,9,15,9
3200.721436,5,15,0,18,6,7,1,19,2,4,8,15,9,6,16,2
3216.163330,10,5,11,10,15,5,9,11,14,18,14,10,1,7,14,7
3243.409668,35,23,22,25,21,12,8,30,8,23,21,20,19,16,32,11
3276.930664,14,16,26,20,19,16,6,12,25,10,19,17,1,8,14,3
3299.435303,24,14,4,14,15,15,10,28,17,2,8,35,6,17,36,11
3332.322754,12,17,19,23,19,16,12,42,17,25,18,28,22,15,8,23
3367.750000,25,30,29,42,23,16,18,24,17,27,30,27,19,12,25,18
3401.730225,17,16,10,16,21,7,1,26,19,11,16,14,12,6,5,11
3425.209229,5,4,10,7,5,3,6,15,10,7,0,8,4,18,7,3
3456.438477,22,19,24,35,24,18,8,35,15,11,18,29,12,13,21,12
3487.024658,19,15,13,29,13,18,7,15,12,18,25,25,6,22,12,11
3512.988281,19,23,18,18,16,23,8,31,36,17,31,21,29,18,14,14
3544.419434,23,13,13,27,30,12,19,28,11,15,18,26,11,13,23,11
3578.132324,15,28,25,22,18,21,15,30,37,15,25,32,16,11,15,14
3609.333740,22,21,23,29,18,13,4,25,29,16,24,34,9,11,27,20
3642.267334,26,12,25,37,24,12,11,25,10,20,23,46,19,19,28,24
3670.412598,25,16,14,20,29,10,9,25,22,14,22,10,14,15,12,7
3695.815186,10,11,7,17,19,15,5,28,11,16,13,10,11,8,20,9
3725.049072,16,10,12,24,20,9,5,24,21,17,12,16,7,14,26,10
3755.553955,15,11,17,14,9,12,15,13,17,14,13,22,5,6,20,11
3780.542480,12,13,15,24,10,6,19,35,10,21,13,21,12,8,12,16
3816.200439,19,19,26,30,28,7,13,15,22,21,7,30,19,15,34,20
3850.910645,26,23,24,32,16,26,14,37,37,21,37,26,22,15,24,28
3884.078369,30,29,25,32,26,23,27,41,24,16,40,33,22,29,25,26
3918.578125,18,20,25,33,18,17,14,31,14,17,19,47,22,14,12,14
3950.393799,18,20,27,22,21,9,16,24,24,14,12,13,8,6,26,11
3983.104980,36,30,18,17,26,18,14,42,27,21,35,18,22,43,42,28
4009.226074,27,20,23,33,19,30,9,18,28,15,30,34,14,22,16,10
4032.653809,9,16,21,17,16,16,17,35,10,17,6,18,14,20,37,11
4055.732422,7,6,19,5,8,11,1,22,8,4,12,11,6,5,8,7
4082.496826,15,14,21,16,12,5,11,8,8,22,8,19,12,18,12,16
