gvt, PE_0, PE_1, PE_2, PE_3, PE_4, PE_5, PE_6, PE_7, PE_8, PE_9, PE_10, PE_11, PE_12, PE_13, PE_14, PE_15
87836.171875, 42, 64, 44, 39, 47, 39, 34, 57, 47, 43, 56, 44, 51, 48, 47, 56
87862.023438, 50, 42, 38, 43, 51, 35, 39, 50, 38, 42, 34, 48, 41, 39, 41, 55
87889.148438, 47, 55, 49, 54, 49, 55, 44, 55, 48, 54, 44, 37, 45, 41, 38, 52
87923.015625, 72, 76, 79, 67, 54, 60, 48, 63, 63, 74, 67, 50, 68, 70, 70, 70
87949.750000, 61, 70, 66, 56, 55, 67, 43, 48, 44, 54, 61, 50, 55, 53, 46, 67
87984.351562, 89, 80, 65, 57, 71, 53, 64, 89, 61, 63, 64, 71, 63, 62, 53, 95
88004.781250, 55, 41, 52, 49, 48, 63, 31, 40, 40, 57, 54, 36, 36, 40, 39, 35
88034.187500, 56, 62, 53, 54, 61, 66, 60, 89, 52, 62, 52, 62, 54, 53, 49, 88
88057.328125, 54, 65, 53, 47, 55, 48, 40, 60, 44, 42, 46, 48, 56, 36, 39, 40
88090.359375, 78, 59, 64, 54, 51, 57, 45, 65, 61, 49, 58, 65, 65, 53, 44, 79
88117.210938, 59, 65, 70, 59, 58, 52, 41, 84, 48, 55, 59, 53, 44, 51, 36, 63
88147.562500, 57, 59, 60, 50, 67, 72, 46, 75, 53, 67, 60, 60, 52, 56, 38, 76
88175.289062, 83, 85, 71, 67, 62, 60, 48, 84, 56, 65, 63, 64, 48, 59, 58, 96
88204.960938, 51, 55, 50, 52, 55, 56, 50, 61, 42, 64, 51, 50, 49, 43, 48, 68
88228.289062, 47, 51, 50, 39, 57, 62, 58, 64, 63, 64, 50, 43, 42, 55, 45, 48
88254.414062, 51, 52, 56, 50, 47, 55, 36, 44, 53, 47, 63, 43, 51, 41, 45, 47
88282.812500, 62, 62, 61, 59, 58, 58, 43, 51, 39, 63, 47, 55, 51, 45, 49, 68
88310.992188, 53, 54, 72, 50, 71, 60, 45, 63, 48, 54, 56, 58, 60, 52, 47, 70
88334.726562, 60, 63, 61, 45, 41, 43, 49, 56, 43, 60, 38, 52, 58, 52, 32, 56
88358.437500, 49, 60, 38, 44, 37, 42, 45, 48, 63, 50, 41, 41, 32, 54, 43, 52
88389.281250, 63, 59, 70, 62, 74, 66, 49, 62, 57, 52, 48, 65, 80, 60, 63, 72
88417.039062, 71, 61, 60, 53, 56, 64, 46, 61, 68, 67, 58, 41, 52, 49, 55, 60
88451.203125, 67, 67, 63, 65, 75, 59, 42, 76, 63, 57, 62, 63, 56, 55, 52, 59
88477.718750, 40, 57, 52, 46, 49, 65, 47, 52, 49, 48, 41, 41, 44, 44, 41, 66
88499.335938, 39, 48, 34, 35, 40, 43, 39, 42, 38, 39, 46, 44, 38, 35, 27, 53
88529.484375, 60, 61, 72, 64, 66, 47, 58, 64, 49, 68, 48, 50, 54, 66, 41, 60
88554.468750, 58, 67, 49, 55, 42, 54, 48, 61, 46, 50, 48, 45, 44, 43, 32, 60
